('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        6    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
       36    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      346    0.000    0.000    0.000    0.000 dammit.py:297(_substitute_xml_entity)
        7    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
        6    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
      259    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.000    0.000 element.py:314(ContentMetaAttributeValue)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      155    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      255    0.000    0.000    0.000    0.000 enum.py:1154(__new__)
     1421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
      512    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
    26/22    0.000    0.000    0.000    0.000 filter.py:492(_make_match_rules)
        1    0.000    0.000    0.000    0.000 __init__.py:691(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      577    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
     1982    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      155    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 parse.py:1099(_splittype)
      280    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      270    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
       73    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        5    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:930(__init__)
      104    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       40    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        1    0.000    0.000    0.000    0.000 typing.py:2104(__instancecheck__)
        1    0.000    0.000    0.000    0.000 parse.py:1120(_splithost)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      992    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        6    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
      315    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        7    0.000    0.000    0.000    0.000 typing.py:1715(copy_with)
      235    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        3    0.000    0.000    0.000    0.000 typing.py:2054(__new__)
        3    0.000    0.000    0.000    0.000 __init__.py:898(_addHandlerRef)
      268    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
        1    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      310    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 socket.py:782(close)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       41    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
      270    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       11    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      157    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      113    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 feedparser.py:102(push)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 socket.py:491(_decref_socketios)
        5    0.000    0.000    0.000    0.000 enum.py:1457(_missing_)
        2    0.000    0.000    0.000    0.000 socket.py:501(close)
        1    0.000    0.000    0.000    0.000 inspect.py:3347(signature)
        3    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
        1    0.000    0.000    0.000    0.000 inspect.py:3068(from_callable)
      586    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
      155    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
   105/87    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.000    0.000 inspect.py:2479(_signature_from_callable)
      106    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       53    0.000    0.000    0.000    0.000 __init__.py:305(escape)
      586    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       17    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
    37/30    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      6/3    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      266    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      6/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      111    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       47    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
      3/1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      286    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      3/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_function)
        1    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
        1    0.000    0.000    0.000    0.000 typing.py:2078(__subclasscheck__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      160    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      276    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      404    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 css_parser.py:681(parse_pseudo_nth)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      138    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       71    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       27    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      391    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      261    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      140    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       17    0.000    0.000    0.000    0.000 enum.py:1447(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 response.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      157    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typing.py:2138(_proto_hook)
       12    0.000    0.000    0.000    0.000 enum.py:1057(_add_member_)
       11    0.000    0.000    0.000    0.000 _htmlparser.py:226(handle_charref)
        4    0.000    0.000    0.000    0.000 typing.py:1623(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      280    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:3901(Format)
        5    0.000    0.000    0.000    0.000 client.py:1294(putheader)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       42    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
      128    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        1    0.000    0.000    0.000    0.000 _typing.py:45(_RegularExpressionProtocol)
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:2128(getLogger)
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      278    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 request.py:271(request_host)
      158    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        7    0.000    0.000    0.000    0.000 message.py:498(get)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      155    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:410(_tp_cache)
        4    0.000    0.000    0.000    0.000 message.py:600(get_content_type)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        1    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.000    0.000 typing.py:415(decorator)
      157    0.000    0.000    0.000    0.000 enum.py:1335(value)
        1    0.000    0.000    0.000    0.000 socket.py:497(_real_close)
        1    0.000    0.000    0.000    0.000 exceptions.py:16(ParserRejectedMarkup)
       16    0.000    0.000    0.000    0.000 typing.py:1757(<genexpr>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
        3    0.000    0.000    0.000    0.000 typing.py:2073(__init__)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 _deprecation.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      114    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 typing.py:580(__getitem__)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x110876020}
       86    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:669(reset)
        3    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
      282    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:415(Purpose)
       37    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.000    0.000 threading.py:1350(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
        6    0.000    0.000    0.000    0.000 enum.py:1218(_add_alias_)
        1    0.000    0.000    0.000    0.000 parser.py:256(parse_html_declaration)
      128    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       24    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       34    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       29    0.000    0.000    0.000    0.000 element.py:2368(get_attribute_list)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       16    0.000    0.000    0.000    0.000 typing.py:1742(<genexpr>)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
       41    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:233(_SpecialForm)
        1    0.000    0.000    0.000    0.000 inspect.py:1818(getattr_static)
        7    0.000    0.000    0.000    0.000 typing.py:1599(__mro_entries__)
        3    0.000    0.000    0.000    0.000 message.py:624(get_content_maintype)
       44    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:278(handle_decl)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:261(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
       36    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        9    0.000    0.000    0.000    0.000 filter.py:224(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:1437(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        4    0.000    0.000    0.000    0.000 enum.py:944(_get_mixins_)
        5    0.000    0.000    0.000    0.000 inspect.py:2728(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:978(SSLSocket)
        1    0.000    0.000    0.000    0.000 client.py:1138(putrequest)
        1    0.000    0.000    0.000    0.000 typing.py:1374(__instancecheck__)
        1    0.000    0.000    0.000    0.000 filter.py:346(SoupStrainer)
        1    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        5    0.000    0.000    0.000    0.000 element.py:530(get_text)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       44    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1665(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 dammit.py:593(encodings)
       18    0.000    0.000    0.000    0.000 enum.py:762(__delattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1119(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1225(send)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        2    0.000    0.000    0.000    0.000 functools.py:189(total_ordering)
      248    0.000    0.000    0.000    0.000 enum.py:1215(__init__)
       16    0.000    0.000    0.000    0.000 css_parser.py:459(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       10    0.000    0.000    0.000    0.000 _htmlparser.py:250(handle_entityref)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    30/29    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1895(_split_scope_id)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       34    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       16    0.000    0.000    0.000    0.000 request.py:585(__lt__)
        2    0.000    0.000    0.000    0.000 idna.py:179(encode)
        4    0.000    0.000    0.000    0.000 enum.py:985(_find_data_type_)
        1    0.000    0.000    0.000    0.000 request.py:1240(do_request_)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       10    0.000    0.000    0.000    0.000 element.py:2068(_all_strings)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1924(IPv6Address)
        1    0.000    0.000    0.000    0.000 css_match.py:432(Inputs)
        6    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        4    0.000    0.000    0.000    0.000 typing.py:1326(__mro_entries__)
        1    0.000    0.000    0.000    0.000 inspect.py:3016(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       52    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 __init__.py:600(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
        1    0.000    0.000    0.000    0.000 dammit.py:683(find_declared_encoding)
      120    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:869(__init__)
        5    0.000    0.000    0.000    0.000 formatter.py:198(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1277(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:1770(_check_instance)
        8    0.000    0.000    0.000    0.000 formatter.py:79(__init__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:441(_encode_hostname)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x1109d9b20}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 client.py:1459(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1984(_allow_reckless_class_checks)
        1    0.000    0.000    0.000    0.000 ssl.py:677(verify_mode)
        3    0.000    0.000    0.000    0.000 __init__.py:1477(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
      104    0.000    0.000    0.000    0.000 enum.py:919(<lambda>)
        1    0.000    0.000    0.000    0.000 __meta__.py:143(_get_canonical)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:331(__init__)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:61(BeautifulSoupHTMLParser)
        6    0.000    0.000    0.000    0.000 inspect.py:3063(<genexpr>)
       52    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:411(__subclasshook__)
       11    0.000    0.000    0.000    0.000 dammit.py:1371(numeric_character_reference)
        1    0.000    0.000    0.000    0.000 client.py:819(HTTPConnection)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 client.py:835(_get_content_length)
       15    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        6    0.000    0.000    0.000    0.000 client.py:1066(_output)
        2    0.000    0.000    0.000    0.000 charset.py:206(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        6    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
       27    0.000    0.000    0.000    0.000 message.py:515(set_raw)
        9    0.000    0.000    0.000    0.000 css_types.py:394(pickle_register)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1621(_BaseV6)
       12    0.000    0.000    0.000    0.000 element.py:664(_last_descendant)
        2    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       17    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    0.000    0.000 request.py:287(Request)
        1    0.000    0.000    0.000    0.000 client.py:252(HTTPResponse)
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
        1    0.000    0.000    0.000    0.000 element.py:1660(XMLProcessingInstruction)
        2    0.000    0.000    0.000    0.000 __init__.py:957(createLock)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 threading.py:1395(_DummyThread)
        5    0.000    0.000    0.000    0.000 element.py:3195(__init__)
        1    0.000    0.000    0.000    0.000 client.py:867(__init__)
       17    0.000    0.000    0.000    0.000 ssl.py:972(_sslcopydoc)
       57    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       29    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
        1    0.000    0.000    0.000    0.000 message.py:981(MIMEPart)
       16    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        1    0.000    0.000    0.000    0.000 client.py:396(_check_close)
        3    0.000    0.000    0.000    0.000 typing.py:2329(runtime_checkable)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       16    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        2    0.000    0.000    0.000    0.000 enum.py:1012(_find_new_)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
        1    0.000    0.000    0.000    0.000 css_types.py:310(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.000    0.000 models.py:13(CharsetMatch)
        1    0.000    0.000    0.000    0.000 financial_enhanced.py:8(RequestError)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        2    0.000    0.000    0.000    0.000 __init__.py:1409(_fixupParents)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        9    0.000    0.000    0.000    0.000 __init__.py:185(__new__)
        3    0.000    0.000    0.000    0.000 typing.py:1813(__hash__)
        2    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        1    0.000    0.000    0.000    0.000 ssl.py:792(SSLObject)
        5    0.000    0.000    0.000    0.000 types.py:334(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:458(validate)
        2    0.000    0.000    0.000    0.000 element.py:445(formatter_for_name)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1497(IPv4Network)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 __init__.py:815(register_treebuilders_from)
        4    0.000    0.000    0.000    0.000 _deprecation.py:22(_deprecated_alias)
        1    0.000    0.000    0.000    0.000 dammit.py:988(find_codec)
        1    0.000    0.000    0.000    0.000 decoder.py:292(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 css_match.py:535(CSSMatch)
       39    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 socket.py:517(family)
