('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.050    0.050 socket.py:960(getaddrinfo)
        1    0.047    0.047    0.050    0.050 {built-in method _socket.getaddrinfo}
    37532    0.049    0.000    0.049    0.000 {method 'match' of 're.Pattern' objects}
     5795    0.010    0.000    0.046    0.000 filter.py:540(matches_tag)
        2    0.000    0.000    0.046    0.023 parser.py:1(<module>)
     8382    0.017    0.000    0.042    0.000 formatter.py:170(attributes)
185112/185108    0.039    0.000    0.040    0.000 {built-in method builtins.isinstance}
    27536    0.018    0.000    0.040    0.000 dammit.py:355(substitute_xml)
        1    0.000    0.000    0.039    0.039 feedparser.py:1(<module>)
        1    0.000    0.000    0.038    0.038 financial_enhanced.py:38(get_values)
        2    0.000    0.000    0.037    0.018 utils.py:1(<module>)
     4191    0.023    0.000    0.036    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.035    0.035 _policybase.py:1(<module>)
        1    0.000    0.000    0.034    0.034 api.py:1(<module>)
        1    0.000    0.000    0.033    0.033 cd.py:1(<module>)
    28464    0.025    0.000    0.032    0.000 {method 'sub' of 're.Pattern' objects}
   138721    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
    24596    0.011    0.000    0.031    0.000 element.py:2529(__ne__)
      113    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5778    0.010    0.000    0.029    0.000 filter.py:618(_attribute_match)
        1    0.000    0.000    0.028    0.028 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.028    0.028 ssl.py:990(_create)
        1    0.000    0.000    0.028    0.028 ssl.py:1365(do_handshake)
        1    0.028    0.028    0.028    0.028 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      111    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
    27647    0.027    0.000    0.027    0.000 element.py:90(__getattr__)
